Symbol,Security Name,Exchange
ATAX,"America First Multifamily Investors, L.P. - Beneficial Unit Certificates (BUCs) representing Limited Partnership Interests",NASDAQ
ATCX,"Atlas Technical Consultants, Inc. - Class A Common Stock",NASDAQ
ATEC,"Alphatec Holdings, Inc. - Common Stock",NASDAQ
ATEX,Anterix Inc. - Common Stock,NASDAQ
ATHA,"Athira Pharma, Inc. - Common Stock",NASDAQ
ATHE,Alterity Therapeutics Limited - American Depositary Shares,NASDAQ
ATHX,"Athersys, Inc. - Common Stock",NASDAQ
ATIF,ATIF Holdings Limited - Ordinary Shares,NASDAQ
ATLC,Atlanticus Holdings Corporation - Common Stock,NASDAQ
ATLO,Ames National Corporation - Common Stock,NASDAQ
ATNI,"ATN International, Inc. - Common Stock",NASDAQ
ATNX,"Athenex, Inc. - Common Stock",NASDAQ
ATOM,Atomera Incorporated - Common Stock,NASDAQ
ATOS,"Atossa Therapeutics, Inc. - Common Stock",NASDAQ
ATRA,"Atara Biotherapeutics, Inc. - Common Stock",NASDAQ
ATRC,"AtriCure, Inc. - Common Stock",NASDAQ
ATRI,Atrion Corporation - Common Stock,NASDAQ
ATRO,Astronics Corporation - Common Stock,NASDAQ
ATRS,"Antares Pharma, Inc. - Common Stock",NASDAQ
ATSG,"Air Transport Services Group, Inc - Common Stock",NASDAQ
ATVI,"Activision Blizzard, Inc - Common Stock",NASDAQ
AUB,Atlantic Union Bankshares Corporation - Common Stock,NASDAQ
AUBAP,"Atlantic Union Bankshares Corporation - Depositary Shares each representing a 1/400th ownership interest in a share of 6.875%Perpetual Non-Cumulative Preferred Stock, Series A",NASDAQ
AUBN,"Auburn National Bancorporation, Inc. - Common Stock",NASDAQ
AUDC,AudioCodes Ltd. - Ordinary Shares,NASDAQ
AUPH,Aurinia Pharmaceuticals Inc - Common Shares,NASDAQ
AUTL,Autolus Therapeutics plc - American Depositary Shares,NASDAQ
AUTO,"AutoWeb, Inc. - Common Stock",NASDAQ
AUUD,Auddia Inc. - Common Stock,NASDAQ
AUUDW,Auddia Inc. - Warrants,NASDAQ
